Name,Price,Time,Location,Product,Etat,Livraison
Samsung S24 fe 128,290 000 CFA,4 minutes,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Itag wiwu,15 000 CFA,4 minutes,"Medina, Dakar, Sénégal",Accessoires Téléphonie,,disponible
Location appartements 2 pièces - Ngaparou,175 000 CFA,6 minutes,"Ngaparou, Sénégal",Appartements,,
Chargeur Galaxy Watch,15 000 CFA,6 minutes,"Medina, Dakar, Sénégal",Accessoires Téléphonie,,disponible
Ipad 5th 128gb,77 000 CFA,6 minutes,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Clavier wiwu,75 000 CFA,11 minutes,"Medina, Dakar, Sénégal",Accessoires Informatiques,Produit neuf,disponible
Samsung Galaxy S21+ -256Go,185 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
TCL 20L Plus,75 000 CFA,12 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Samsung Galaxy S22 ultra -256Go,350 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Câble pour transfert donnée,15 000 CFA,12 minutes,"Medina, Dakar, Sénégal",Accessoires Téléphonie,,disponible
Tablette Atouch x19 ultra,65 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy S22 ultra -256Go,325 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Clef USB 4 en 1 128Go,15 000 CFA,"Parcelle Assainies, Dakar, Sénégal",Ordinateurs,"Parcelle Assainies, Dakar, Sénégal",Produit neuf,disponible
Kia Optima 2014,3 950 000 CFA,12 minutes,"Fass, Dakar, Sénégal",Voitures,,
Samsung Galaxy Z Fold 4 -256Go,410 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy Z Fold 3 -256Go,310 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Iphone 14 128gb esim,230 000 CFA,12 minutes,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Ipad 9th 64gb wifi,155 000 CFA,12 minutes,"Medina, Dakar, Sénégal",Téléphones & Tablettes,,disponible
Samsung Galaxy Z Fold 3 -256Go,270 000 CFA,12 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Canapé lit en cuir,180 000 CFA,17 minutes,"Colobane, Dakar, Sénégal",Meubles,,
Canapé lit en cuir,130 000 CFA,17 minutes,"Colobane, Dakar, Sénégal",Autres pour la maison,,
Vente appartements 4 pièces - Mermoz-sacré coeur,181 000 000 CFA,18 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Appartements,,
Balance  20kg,12 000 CFA,22 minutes,"Colobane, Dakar, Sénégal",Matériel Marchés & Commerces,,
Location appartements meublés 6 pièces - Mermoz-sacré coeur,Prix sur demande,22 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Appartements meublés,,
iPhone 11 -128Go,146 500 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Realme C53 -256Go,85 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Tecno Camon 30 -256Go,130 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A06 -256Go,80 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Mitsubishi L200 2019,8 700 000 CFA,27 minutes,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Hyundai Elantra,3 700 000 CFA,27 minutes,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Sony Xperia 5 mark 3 5G,100 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Samsung Galaxy A05S,100 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Huawei Honor 50,135 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Produit neuf,
Samsung Galaxy A06 -128Go,80 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A16-256Go,120 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
BMW X3,6 500 000 CFA,27 minutes,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Oppo find X3 Pro - 256Go,185 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Redmi Note 13 Pro -256Gb,145 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ventilateur mural mtk air,19 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Climatiseurs & ventilateurs,Produit neuf,disponible
Tecno Camon 30,130 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Tecno Spark 30C -256Go,80 000 CFA,27 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Ventilateur mural mtk air,19 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Climatiseurs & ventilateurs,Produit neuf,disponible
Hyundai Accent 2015,3 950 000 CFA,27 minutes,"Fass, Dakar, Sénégal",Voitures,,
iPhone XR- 128Go,110 000 CFA,27 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Kia Sportage 2017,11 900 000 CFA,28 minutes,"Fass, Dakar, Sénégal",Voitures,,
Location appartements meublés 4 pièces - Mermoz-sacré coeur,Prix sur demande,31 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Appartements meublés,,
Hachoir,55 000 CFA,35 minutes,"Colobane, Dakar, Sénégal",Vaisselle,,
iPhone 11 -128Go,155 000 CFA,35 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Machine à coude,15 000 CFA,35 minutes,"Colobane, Dakar, Sénégal",Autre matériel professionnel,,
Tecno Camon 40 - 256Go,150 000 CFA,35 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone XR-128Go,125 000 CFA,35 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone XR - 64Go,110 000 CFA,35 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 11-64Go,125 000 CFA,35 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 12Pro Max -128Go,260 000 CFA,37 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
iPhone 13Pro -128Go,270 000 CFA,37 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Table bureau en bois avec étagère,40 000 CFA,37 minutes,"Colobane, Dakar, Sénégal",Meubles,,
Kia  Sportage 2016,7 750 000 CFA,37 minutes,"Fass, Dakar, Sénégal",Voitures,,
Table basse VIP,40 000 CFA,37 minutes,"Colobane, Dakar, Sénégal",Meubles,,
Table dressage 1m 80,35 000 CFA,37 minutes,"Colobane, Dakar, Sénégal",Meubles,,
Table basse 2 pièces,35 000 CFA,43 minutes,"Colobane, Dakar, Sénégal",Meubles,,
Boite de rangement,30 000 CFA,43 minutes,"Colobane, Dakar, Sénégal",Meubles,,
Honda CR-V 2016,6 850 000 CFA,43 minutes,"Fass, Dakar, Sénégal",Voitures,,
Location appartement 3 pièces - VDN 3,155 000 CFA,43 minutes,"Dakar, Sénégal",Appartements,,
Table bureau ajustable dimension 80/45cm,25 000 CFA,50 minutes,"Colobane, Dakar, Sénégal",Meubles,,
"Machine à laver 7,6k",70 000 CFA,50 minutes,"Colobane, Dakar, Sénégal",Machine à laver vaisselles & linges,,
Samsung Galaxy A26 -128Go,155 000 CFA,50 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Realme C53 -256Go,79 900 CFA,50 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
iPhone 11 -128Go,146 500 CFA,50 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Redmi Note 13 Pro -256Gb,140 000 CFA,50 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Sharp R6 5G,95 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Produit neuf,disponible
iPhone XR -64Go,102 500 CFA,53 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
iPhone XR -128Go,110 000 CFA,53 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Lampe solaire 2bot 3bot 1bot,10 000 CFA,53 minutes,"Colobane, Dakar, Sénégal","Energie, Groupes Electrogène & Panneaux solaires",,
Lampe solaire 200W,25 000 CFA,53 minutes,"Colobane, Dakar, Sénégal","Energie, Groupes Electrogène & Panneaux solaires",,
iPhone XR -128Go,110 000 CFA,53 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Peugeot 308 2017,4 950 000 CFA,53 minutes,"Fass, Dakar, Sénégal",Voitures,,
Volkswagen T-Roc 2023,11 900 000 CFA,53 minutes,"Fass, Dakar, Sénégal",Voitures,Produit neuf,
Realme C53,79 900 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A36 5g – 128Go,180 000 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Redmi Note 13 pro,140 000 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A26 5g,155 000 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,
Samsung Galaxy A26 5g -128Go,155 000 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
IPhone XR -64Go,103 500 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Samsung Galaxy A36 -128Go,180 000 CFA,58 minutes,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
Peugeot 208 2013,3 800 000 CFA,58 minutes,"Fass, Dakar, Sénégal",Voitures,,
Chambre à coucher,750 000 CFA,1 heure,"Dakar, Sénégal",Meubles,,disponible
Samsung Galaxy A23 5G -128Go,85 000 CFA,1 heure,"Mermoz-Sacré Coeur, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
