Name,Price,Time,Location,Product,Etat,Livraison
Service de dédouanement / mutation,Prix sur demande,1 minute,"Fass, Dakar, Sénégal",Autres services,,
Jeep Cherokee 2014,5 200 000 CFA,"Almadies, Dakar, Sénégal",Voitures,"Almadies, Dakar, Sénégal",,
Peugeot 308 2016,5 800 000 CFA,1 minute,"Fass, Dakar, Sénégal",Voitures,,
Peugeot 308 2013,3 750 000 CFA,1 minute,"Dakar Plateau, Dakar, Sénégal",Voitures,,
Chaussures homme,Prix sur demande,6 minutes,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Djipur,20 000 CFA,6 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Location appartements 4pièces -Liberté6 extension,350 000 CFA,6 minutes,"Sicap Liberté, Dakar, Sénégal",Appartements,,
Chaussures homme,15 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Lacoste homme,6 500 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Getzner super manium gold,12 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Bassin riche,6 500 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Brodé,16 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
T-shirt coton,5 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Chaussures homme,13 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Renault QM3 2016,6 800 000 CFA,16 minutes,"Fass, Dakar, Sénégal",Voitures,,
Toyota Auris 2015,6 600 000 CFA,16 minutes,"Fass, Dakar, Sénégal",Voitures,,
Bassin riche,5 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Basin riche,5 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Getzner super manium gold,12 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Getzner super manium gold,12 000 CFA,16 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Jeep Cherokee,7 700 000 CFA,16 minutes,"Parcelle Assainies, Dakar, Sénégal",Voitures,,
Kaki,7 000 CFA,21 minutes,"Dakar Plateau, Dakar, Sénégal",Vêtements Homme,,disponible
Chaussures homme,16 000 CFA,21 minutes,"Dakar Plateau, Dakar, Sénégal",Chaussures Homme,,disponible
Peugeot 308 2016,6 500 000 CFA,21 minutes,"Fass, Dakar, Sénégal",Voitures,,
Terrains 22ha TF -Ndayane,Prix sur demande,31 minutes,"Rufisque, Sénégal",Terrains,,
Ford Escape SE 2014,4 000 000 CFA,40 minutes,"Dakar, Sénégal",Voitures,Produit neuf,
Renault SM6 2016,7 300 000 CFA,41 minutes,"Damel, Dakar, Sénégal",Voitures,,
Hyundai Sonata limited 2012,3 800 000 CFA,43 minutes,"Dakar, Sénégal",Voitures,Produit neuf,
Hyundai Santa Fe sport 20,5 900 000 CFA,46 minutes,"Dakar, Sénégal",Voitures,Produit neuf,
PC Lenovo yoga,120 000 CFA,46 minutes,"Dakar Plateau, Dakar, Sénégal",Téléphones & Tablettes,Produit neuf,disponible
PC HP Elitebook 840 G6,165 000 CFA,46 minutes,"Yoff, Dakar, Sénégal",Ordinateurs,,
Bassin riche,5 000 CFA,47 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
Bassin riche,5 000 CFA,47 minutes,"Dakar Plateau, Dakar, Sénégal",Tissus & Foulards,,disponible
